Authors, Year, Publication, Journal
"Bradley St. Clair, J., Kilkenny, F. F., Johnson, R. C., Shaw, N. L., & Weaver, G.", 2013, "Genetic variation in adaptive traits and seed transfer zones for *Pseudoroegneria spicata* (bluebunch wheatgrass) in the northwestern United States", "*Evolutionary Applications*, 6(6), 933-948"
"Doherty, K. D., Butterfield, B. J., & Wood, T. E.", 2017, "Matching seed to site by climate similarity: techniques to prioritize plant materials development and use in restoration", "*Ecological Applications*, 27(3), 1010-1023"
"Erickson, V. J., Mandel, N. L., & Sorensen, F. C.", 2004, "Landscape patterns of phenotypic variation and population structuring in a selfing grass, *Elymus glaucus* (blue wildrye)", "*Canadian Journal of Botany*, 82(12), 1776-1789"
"Johnson, R. C., Erickson, V. J., Mandel, N. L., St Clair, J. B., & Vance-Borland, K. W.", 2010, "Mapping genetic variation and seed zones for *Bromus carinatus* in the Blue Mountains of eastern Oregon, USA", "*Botany*, 88(8), 725-736"
"Johnson, R. C., Cashman, M. J., & Vance-Borland, K.", 2012, "Genecology and seed zones for Indian ricegrass collected in the southwestern United States", "*Rangeland Ecology & Management*, 65(5), 523-532"
"Johnson, R. C., Hellier, B. C., & Vance-Borland, K. W.", 2013, "Genecology and seed zones for tapertip onion in the US Great Basin", "*Botany*, 91(10), 686-694"
"Johnson, R. C., Horning, M. E., Espeland, E. K., & Vance‐Borland, K.", 2015, "Relating adaptive genetic traits to climate for Sandberg bluegrass from the intermountain western United States", "*Evolutionary Applications*, 8(2), 172-184"
"Johnson, R. C., & Vance-Borland, K.", 2016, "Linking genetic variation in adaptive plant traits to climate in tetraploid and octoploid basin wildrye [*Leymus cinereus* (Scribn. & Merr.) A. Love] in the Western US", "*PLoS One*, 11(2), e0148982"
"Johnson, R. C., Leger, E. A., & Vance-Borland, K.", 2017, "Genecology of Thurber’s Needlegrass (*Achnatherum thurberianum* [Piper] Barkworth) in the Western United States", "*Rangeland Ecology & Management*, 70(4), 509-517"
"Massatti, R.", 2019, "Genetically-informed seed transfer zones for *Pleuraphis jamesii*, *Sphaeralcea parvifolia*, and *Sporobolus cryptandrus* across the Colorado Plateau and adjacent regions.",  "*USGS Report*, 37"
"Massatti, R., & Winkler, D. E.", 2022, "Spatially explicit management of genetic diversity using ancestry probability surfaces", "*Methods in Ecology and Evolution*, 13(12), 2668-2681"
"Shryock, D. F., Havrilla, C. A., DeFalco, L. A., Esque, T. C., Custer, N. A., & Wood, T. E.", 2017, "Landscape genetic approaches to guide native plant restoration in the Mojave Desert", "*Ecological Applications*, 27(2), 429-445"
